iter	Passed	Remaining
0	14	21106
1	27	20795
2	40	20186
3	54	20228
4	63	19124
5	76	19019
6	114	24506
7	124	23162
8	133	22147
9	146	21881
10	159	21627
11	169	20963
12	177	20334
13	187	19876
14	199	19785
15	211	19601
16	220	19257
17	230	18947
18	238	18624
19	247	18303
20	257	18129
21	270	18199
22	280	18027
23	294	18108
24	309	18274
25	322	18266
26	334	18258
27	355	18672
28	366	18581
29	377	18486
30	393	18648
31	414	19021
32	428	19056
33	438	18896
34	454	19029
35	472	19204
36	503	19913
37	517	19904
38	531	19927
39	542	19783
40	553	19682
41	565	19614
42	574	19477
43	583	19318
44	592	19158
45	600	18994
46	610	18863
47	618	18720
48	631	18702
49	641	18596
50	650	18474
51	659	18357
52	668	18261
53	677	18148
54	689	18123
55	703	18141
56	714	18083
57	723	17982
58	732	17882
59	743	17835
60	753	17773
61	763	17706
62	778	17748
63	790	17732
64	803	17742
65	812	17651
66	827	17691
67	837	17644
68	847	17574
69	861	17600
70	873	17581
71	882	17501
72	890	17403
73	898	17315
74	909	17284
75	919	17235
76	927	17139
77	935	17061
78	942	16959
79	947	16813
80	958	16795
81	965	16690
82	978	16697
83	986	16634
84	996	16585
85	1007	16561
86	1015	16500
87	1025	16451
88	1033	16377
89	1040	16304
90	1051	16285
91	1061	16246
92	1069	16187
93	1077	16119
94	1086	16062
95	1093	15990
96	1105	15991
97	1116	15966
98	1126	15936
99	1135	15897
100	1143	15845
101	1152	15802
102	1161	15756
103	1173	15748
104	1185	15743
105	1196	15741
106	1205	15688
107	1213	15640
108	1226	15653
109	1235	15606
110	1242	15547
111	1249	15486
112	1257	15435
113	1266	15399
114	1274	15348
115	1282	15296
116	1289	15246
117	1298	15205
118	1307	15179
119	1318	15166
120	1328	15141
121	1339	15130
122	1350	15122
123	1364	15145
124	1372	15093
125	1382	15074
126	1391	15047
127	1402	15029
128	1413	15021
129	1421	14978
130	1429	14935
131	1437	14893
132	1448	14889
133	1461	14897
134	1470	14870
135	1478	14825
136	1485	14777
137	1492	14730
138	1499	14680
139	1507	14644
140	1515	14602
141	1522	14557
142	1529	14514
143	1536	14465
144	1548	14466
145	1556	14432
146	1563	14395
147	1571	14353
148	1578	14313
149	1585	14271
150	1592	14230
151	1603	14218
152	1614	14212
153	1622	14182
154	1630	14147
155	1637	14104
156	1645	14074
157	1652	14035
158	1660	14006
159	1667	13963
160	1674	13927
161	1681	13887
162	1689	13855
163	1695	13816
164	1703	13786
165	1712	13760
166	1720	13733
167	1727	13700
168	1735	13669
169	1743	13636
170	1749	13599
171	1758	13574
172	1765	13539
173	1773	13514
174	1780	13480
175	1791	13473
176	1806	13504
177	1816	13491
178	1823	13455
179	1830	13426
180	1839	13402
181	1847	13381
182	1855	13352
183	1863	13327
184	1870	13296
185	1878	13267
186	1885	13240
187	1893	13211
188	1900	13184
189	1909	13164
190	1917	13142
191	1925	13116
192	1932	13086
193	1941	13067
194	1949	13045
195	1957	13025
196	1965	13003
197	1975	12988
198	1982	12962
199	1990	12938
200	1998	12917
201	2006	12891
202	2014	12872
203	2021	12842
204	2029	12817
205	2036	12795
206	2044	12772
207	2053	12752
208	2059	12721
209	2065	12685
210	2072	12663
211	2080	12638
212	2085	12601
213	2095	12594
214	2103	12573
215	2111	12552
216	2119	12529
217	2126	12505
218	2134	12487
219	2144	12474
220	2152	12455
221	2159	12430
222	2167	12413
223	2174	12389
224	2182	12366
225	2190	12347
226	2199	12335
227	2208	12322
228	2216	12303
229	2225	12287
230	2233	12271
231	2244	12265
232	2251	12242
233	2260	12228
234	2268	12213
235	2277	12199
236	2285	12181
237	2295	12173
238	2303	12154
239	2311	12137
240	2319	12115
241	2326	12094
242	2334	12076
243	2342	12060
244	2350	12040
245	2358	12021
246	2365	12001
247	2373	11984
248	2376	11941
249	2384	11921
250	2391	11900
251	2399	11883
252	2407	11864
253	2415	11846
254	2424	11837
255	2432	11821
256	2440	11805
257	2451	11801
258	2462	11796
259	2470	11781
260	2478	11765
261	2485	11746
262	2494	11734
263	2503	11720
264	2511	11705
265	2522	11701
266	2530	11687
267	2540	11678
268	2549	11665
269	2557	11650
270	2565	11633
271	2576	11629
272	2587	11627
273	2595	11612
274	2607	11616
275	2617	11607
276	2624	11588
277	2632	11571
278	2639	11553
279	2648	11538
280	2656	11522
281	2664	11507
282	2670	11486
283	2679	11470
284	2686	11454
285	2694	11435
286	2702	11423
287	2710	11406
288	2717	11388
289	2725	11371
290	2733	11356
291	2740	11337
292	2749	11326
293	2757	11310
294	2765	11295
295	2774	11284
296	2782	11269
297	2789	11252
298	2798	11240
299	2808	11232
300	2816	11218
301	2825	11207
302	2833	11191
303	2839	11172
304	2848	11159
305	2856	11144
306	2863	11127
307	2871	11112
308	2879	11097
309	2886	11082
310	2894	11065
311	2902	11053
312	2911	11039
313	2920	11031
314	2930	11024
315	2937	11007
316	2946	10994
317	2953	10978
318	2961	10964
319	2969	10950
320	2977	10934
321	2985	10921
322	2993	10909
323	3001	10894
324	3008	10878
325	3018	10870
326	3026	10855
327	3033	10838
328	3040	10823
329	3048	10807
330	3056	10795
331	3064	10780
332	3071	10764
333	3080	10753
334	3088	10739
335	3095	10724
336	3105	10716
337	3113	10705
338	3122	10693
339	3131	10683
340	3142	10680
341	3150	10666
342	3158	10653
343	3166	10640
344	3175	10632
345	3184	10622
346	3192	10608
347	3199	10592
348	3206	10574
349	3214	10561
350	3222	10547
351	3229	10534
352	3237	10520
353	3245	10505
354	3253	10492
355	3260	10477
356	3268	10464
357	3276	10451
358	3284	10438
359	3297	10443
360	3305	10430
361	3313	10415
362	3321	10403
363	3329	10390
364	3337	10379
365	3345	10366
366	3354	10354
367	3361	10341
368	3369	10326
369	3376	10312
370	3383	10297
371	3391	10283
372	3398	10269
373	3407	10257
374	3414	10244
375	3432	10260
376	3441	10250
377	3449	10238
378	3456	10224
379	3463	10207
380	3471	10194
381	3478	10179
382	3485	10166
383	3494	10154
384	3502	10142
385	3509	10127
386	3517	10115
387	3524	10100
388	3531	10087
389	3538	10071
390	3547	10061
391	3554	10046
392	3562	10035
393	3570	10021
394	3578	10011
395	3588	10003
396	3595	9989
397	3604	9978
398	3612	9967
399	3620	9957
400	3628	9945
401	3636	9932
402	3643	9918
403	3651	9906
404	3659	9893
405	3666	9879
406	3672	9863
407	3680	9850
408	3687	9836
409	3694	9823
410	3703	9812
411	3711	9802
412	3718	9786
413	3726	9775
414	3737	9770
415	3746	9761
416	3753	9749
417	3762	9739
418	3770	9727
419	3777	9714
420	3786	9703
421	3793	9691
422	3800	9677
423	3809	9666
424	3819	9660
425	3829	9655
426	3838	9645
427	3847	9637
428	3856	9628
429	3866	9620
430	3875	9612
431	3884	9603
432	3893	9595
433	3903	9587
434	3914	9583
435	3924	9576
436	3934	9570
437	3943	9561
438	3954	9557
439	3962	9546
440	3970	9534
441	3978	9523
442	3987	9513
443	3994	9499
444	4001	9486
445	4009	9475
446	4016	9461
447	4024	9449
448	4033	9440
449	4041	9430
450	4049	9419
451	4057	9406
452	4065	9395
453	4072	9383
454	4080	9372
455	4088	9359
456	4095	9347
457	4103	9336
458	4110	9322
459	4118	9311
460	4126	9301
461	4134	9290
462	4141	9276
463	4150	9266
464	4158	9254
465	4165	9242
466	4172	9229
467	4180	9218
468	4188	9206
469	4196	9195
470	4203	9183
471	4211	9172
472	4218	9160
